"row_id","triplet_id","variant_type","scam_type","language","script","surface_format","message_text","text_en_gloss","genuine_anchor_id","pattern_id","source_type","source_url","source_date","pressure_tactic","ask","red_flags","mentioned_institutions","contains_link","link_pattern","validation_status"
"CYB-PILOT-001","TRIP-DA-HI-001","genuine","digital_arrest","Hindi","Devanagari","awareness_notice","CyberDost: कोई सरकारी एजेंसी phone/video call पर गिरफ्तारी या पूछताछ नहीं करती. ऐसे call पर तुरंत 1930 पर report करें.","CyberDost notice: no agency conducts arrest or inquiry by phone/video call; report to 1930.","ANC-CYBER-002","PAT-DA-006","hand_built","https://www.pib.gov.in/PressReleasePage.aspx?PRID=2068698","2024-10-27","public_warning","report_1930","official_endpoint|anti_digital_arrest","CyberDost|I4C|1930","false","none","needs_human_review"
"CYB-PILOT-002","TRIP-DA-HI-001","scam","digital_arrest","Hindi","Devanagari","video_call_summary","कॉलर ने खुद को Mumbai Crime Branch बताया, कहा Aadhaar से parcel case जुड़ा है. उसने WhatsApp video call चालू रखने, परिवार को न बताने और verification amount तैयार रखने को कहा.","Caller claimed to be Mumbai Crime Branch, linked Aadhaar to a parcel case, and demanded video-call isolation and verification money.","ANC-CYBER-002","PAT-DA-004","hand_built","https://indianexpress.com/article/cities/bangalore/bengaluru-mnc-product-marketing-head-digital-arrest-loses-rs-51-lakh-cybercriminals-9585330/","2024-09-24","fake_arrest_isolation","stay_on_video_call","fake_arrest|isolation|video_call_pressure|verification_money","Mumbai Crime Branch|Aadhaar|WhatsApp","false","none","needs_human_review"
"CYB-PILOT-003","TRIP-DA-HI-001","help_seeking","digital_arrest","Hindi","Devanagari","help_message","भैया, कोई CBI वाला बोल रहा है कि मैं digital arrest में हूं और video call काटना मना है. क्या सच में ऐसा होता है या 1930 पर call करूं?","An anxious person asks whether a claimed CBI digital arrest video call is real or should be reported to 1930.","ANC-CYBER-002","PAT-DA-004","hand_built","https://www.pib.gov.in/PressReleseDetailm.aspx?PRID=2068606","2024-10-27","fear_of_arrest","ask_trusted_contact","anxious|mentions_digital_arrest|asks_about_1930","CBI|1930","false","none","needs_human_review"
"CYB-PILOT-004","TRIP-FC-MR-001","genuine","fake_courier_parcel","Marathi","Devanagari","courier_sms","Blue Dart: तुमची shipment आज deliver होईल. Track ID BD482916. अनोळखी नंबरवरून आलेल्या links उघडू नका, माहिती शेअर करू नका. -Blue Dart","Blue Dart delivery notice says shipment will arrive today and warns not to open links or share info from unknown numbers.","ANC-SMS-030","PAT-FC-008","hand_built","user_supplied_private_sms","2026-04-28","delivery_notice","track_shipment_safely","official_courier_notice|anti_spam_warning","Blue Dart","false","none","corrected_after_review"
"CYB-PILOT-005","TRIP-FC-MR-001","scam","fake_courier_parcel","Marathi","Devanagari","phone_call_summary","कॉलरने Blue Dart delivery agent असल्याचे सांगितले. address confirm होत नसल्यामुळे SMS मधला special code dial करायला सांगितला आणि parcel आजच hold होईल अशी घाई केली.","Caller posed as a Blue Dart delivery agent, claimed address confirmation was failing, and pressured the user to dial a special code.","ANC-SMS-030","PAT-FC-008","hand_built","https://indianexpress.com/article/technology/how-a-simple-delivery-call-can-hijack-your-phone-using-ussd-codes-10464025/lite/","2026-01-09","delivery_urgency","dial_fake_ussd_code","courier_impersonation|asks_to_dial_code|urgency","Blue Dart","false","none","corrected_after_review"
"CYB-PILOT-006","TRIP-FC-MR-001","help_seeking","fake_courier_parcel","Marathi","Devanagari","help_message","आई, Blue Dart वाला म्हणतो address verify नाही म्हणून एक code dial कर म्हणतोय. parcel hold होईल म्हणाला. हे खरं आहे का की 1930 ला call करू?","An anxious Marathi message asks if a Blue Dart caller asking to dial a code is real or should be reported to 1930.","ANC-SMS-030","PAT-FC-008","hand_built","https://indianexpress.com/article/technology/how-a-simple-delivery-call-can-hijack-your-phone-using-ussd-codes-10464025/lite/","2026-01-09","delivery_urgency","ask_trusted_contact","anxious|courier_call|asks_to_dial_code|mentions_1930","Blue Dart|1930","false","none","needs_human_review"
"CYB-PILOT-007","TRIP-KYC-EN-001","genuine","fake_kyc","English","Latin","SMS","BOI-Your A/C No XXXX4187 is inactive since 15-02-2026,Please contact Branch with Fresh KYC Document for verification.","BOI genuine-style inactive account KYC notice asking customer to contact branch with documents.","ANC-SMS-017","PAT-KYC-001","hand_built","user_supplied_private_sms","2026-04-28","kyc_notice","visit_branch","branch_verification|masked_account|no_link","BOI|Bank of India","false","none","needs_human_review"
"CYB-PILOT-008","TRIP-KYC-EN-001","scam","fake_kyc","English","Latin","SMS","BOI KYC expired! Ur A/c will block today. Update PAN/KYC at kyc-boi-secure[.]xyz Ref:KYC482 -BOI","Scam SMS threatens BOI account block and asks user to update KYC through an inert lookalike domain.","ANC-SMS-017","PAT-KYC-001","hand_built","https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57244","2024-02-02","account_freeze_threat","click_kyc_link","urgent|lookalike_bank_link|account_block_threat","BOI|Bank of India","true","lookalike_bank","needs_human_review"
"CYB-PILOT-009","TRIP-KYC-EN-001","help_seeking","fake_kyc","English","Latin","help_message","Dad, I got SMS saying BOI KYC expired and link kyc-boi-secure[.]xyz. It says account blocks today. Should I ignore and visit branch?","A person asks whether a BOI KYC-expiry SMS with a lookalike link should be ignored and verified at branch.","ANC-SMS-017","PAT-KYC-001","hand_built","https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57244","2024-02-02","account_freeze_threat","ask_trusted_contact","anxious|unknown_link|asks_before_clicking","BOI|Bank of India","true","lookalike_bank","needs_human_review"
"CYB-PILOT-010","TRIP-UPI-HIN-001","genuine","upi_collect_request","Hinglish","Latin","SMS","A/c X4821 se Rs.125.00 UPI payment KIRAN SNACKS ko debit hua on 12-May-26. RRN: 731482905164. Not you? call bank. -MAHABANK","Hinglish-style genuine UPI debit SMS with masked account, merchant, date, RRN, and not-you callback instruction.","ANC-SMS-001","PAT-UPI-007","hand_built","user_supplied_private_sms","2026-04-28","transaction_alert","review_transaction","masked_account|rrn|debit_alert","Bank of Maharashtra|MAHABANK|UPI","false","none","needs_human_review"
