"pattern_id","scam_type","pattern_name","surface_format","opening_phrase","pressure_tactic","ask","urgency_marker","representative_excerpt","source_url","source_date","source_type","notes"
"PAT-DA-001","digital_arrest","multi-agency-video-call-threat","video call","This is cyber police, your name is in an investigation","Fake law-enforcement authority and threat of arrest","Stay on video call and do not contact anyone","immediate virtual inquiry","Caller claims police or CBI need a video statement and says disconnection will worsen the case.","https://www.pib.gov.in/PressReleasePage.aspx?PRID=2068698","2024-10-27","official","Use for generic digital-arrest scam variants."
"PAT-DA-002","digital_arrest","anti-narcotics-impersonation","phone to video call","A narcotics case has been registered using your ID","Fear of drug case and criminal record","Move to video call and share identity details","case active today","Caller poses as anti-narcotics staff and says the citizen is linked to a parcel or drug transaction.","https://www.pib.gov.in/PressReleasePage.aspx?PRID=2068698","2024-10-27","official","Do not include operational legal document images."
"PAT-DA-003","digital_arrest","fake-rbi-verification-transfer","video call","RBI verification is required to clear your bank accounts","Financial panic plus official-sounding audit","Transfer funds for verification or security deposit","clearance before arrest","Scammer says money must be moved to a safe account and will be returned after verification.","https://timesofindia.indiatimes.com/technology/tech-news/bengaluru-based-mnc-exec-loses-rs-51-lakh-in-digital-arrest-scam-that-lasted-10-hours/articleshow/113720656.cms","2024-09-27","news","Good contrast against genuine RBI/public-safety notices."
"PAT-DA-004","digital_arrest","skype-confinement-do-not-disconnect","Skype or WhatsApp video call","You are under digital arrest until officers finish checking","Isolation and surveillance fear","Remain visible on camera for hours","do not disconnect","Victim is told to stay on camera and avoid family, bank staff, or police while scammers supervise transfers.","https://indianexpress.com/article/cities/bangalore/bengaluru-mnc-product-marketing-head-digital-arrest-loses-rs-51-lakh-cybercriminals-9585330/","2024-09-24","news","Useful for help-seeking rows where victim asks if this is legal."
"PAT-DA-005","digital_arrest","fake-warrant-whatsapp","WhatsApp call/message","An arrest warrant has been issued against you","Document intimidation and shame","Pay to pause or settle fabricated proceedings","within one hour","Scammer sends a fake warrant or official seal and demands quick payment to stop arrest.","https://timesofindia.indiatimes.com/city/bengaluru/digitally-arrested-by-fakebluru-cops-man-loses-rs-5l/articleshow/116446825.cms","2024-12-18","news","Use paraphrases only; no fake warrant reproduction."
"PAT-DA-006","digital_arrest","stop-think-action-counterpattern","awareness message","No agency conducts investigation over phone or video call","Public-awareness correction","Report to 1930 or cybercrime.gov.in","report immediately","Legitimate awareness message tells citizens to stop, think, and report instead of obeying a video-call threat.","https://www.pib.gov.in/PressReleseDetailm.aspx?PRID=2068606","2024-10-27","official","Anchor for genuine/help-seeking contrast."
"PAT-UPI-001","upi_collect_request","receive-money-collect-trap","UPI app notification","Approve request to receive your refund","Confusion between receiving and paying","Enter UPI PIN on collect request","expires soon","Fraudster says money will arrive only after the user approves a request, but approval sends money out.","https://www.npci.org.in/what-we-do/bhim/faq/","2026-04-28","official","Ground in BHIM approve/decline request flow."
"PAT-UPI-002","upi_collect_request","qr-code-receive-money-fraud","WhatsApp plus QR","Scan this QR to get paid","False payment receipt and hurry","Scan QR or approve request","buyer waiting now","Scammer asks a seller to scan a QR or approve a request to receive money, reversing the payment direction.","https://www.hdfcbank.com/personal/useful-links/important-messages/stayvigil/types-of-fraud","2026-04-28","bank","HDFC notes QR is for sending, not receiving."
"PAT-UPI-003","upi_collect_request","fake-refund-pull-payment","phone call plus UPI app","Your refund has been processed, accept it in UPI","Refund lure","Approve collect request using UPI PIN","refund will lapse","Caller offers a refund and sends a pull request that requires the victim to authorize payment.","https://timesofindia.indiatimes.com/technology/tech-news/npci-is-shutting-down-these-qr-code-based-upi-transactions-starting-october-1/amp_articleshow/123279266.cms","2025-08-15","news","Good for Hinglish and English scam variants."
"PAT-UPI-004","upi_collect_request","fake-merchant-payment-confirmation","UPI notification","Payment confirmation pending from your side","Merchant impersonation and transaction confusion","Tap approve and enter UPI PIN","complete in 5 minutes","Scammer posing as merchant sends a payment request disguised as final confirmation.","https://www.npci.org.in/what-we-do/upi/product-overview/","2026-04-28","official","Use with official definition of collect request."
"PAT-UPI-005","upi_collect_request","ipo-verified-merchant-contrast","UPI mandate request","Check verified merchant before approving","Legitimate verification checklist","Approve only known IPO mandate details","T+1 deadline","Genuine IPO collect requests should show verified merchant and match bid details before approval.","https://www.npci.org.in/what-we-do/ipo/faqs","2026-04-28","official","Anchor for genuine UPI collect rows."
"PAT-UPI-006","upi_collect_request","p2p-collect-risk-discontinuation","public advisory","P2P collect requests are being phased out","Risk reduction context","Do not approve unknown P2P collect requests","policy change from 2025-10-01","NPCI circular listing supports risk framing around P2P collect misuse and discontinuation.","https://www.npci.org.in/what-we-do/upi/circular","2025-2026","official","Use as metadata source, not as SMS copy."
"PAT-FC-001","fake_courier_parcel","fedex-press-9-ivr","automated phone call","Press 9 to speak about your FedEx parcel","Automated authority cue","Press a key and continue to fake officer","parcel seized today","Automated call says a parcel linked to the citizen was intercepted and routes them to a fake officer.","https://indianexpress.com/article/cities/bangalore/bengaluru-mnc-product-marketing-head-digital-arrest-loses-rs-51-lakh-cybercriminals-9585330/","2024-09-24","news","Keep carrier name as documented source context."
"PAT-FC-002","fake_courier_parcel","mdma-passport-parcel","phone call","A parcel in your name contains MDMA and passports","Drug-smuggling accusation","Share Aadhaar/PAN and join video inquiry","case filed at airport","Caller alleges illegal items in a parcel and says customs or police have registered a case.","https://timesofindia.indiatimes.com/city/bengaluru/fedex-fraudsters-dupe-techie-of-1cr/articleshow/110315472.cms","2024-05-22","news","Representative excerpt paraphrased."
"PAT-FC-003","fake_courier_parcel","aadhaar-linked-international-parcel","phone to video call","Your Aadhaar was used to send a parcel abroad","Identity theft fear","Confirm ID details and follow transfer instructions","international case","Scammer claims Aadhaar was used for a parcel to Iran or Taiwan and escalates to fake police.","https://timesofindia.indiatimes.com/technology/tech-news/bengaluru-based-mnc-exec-loses-rs-51-lakh-in-digital-arrest-scam-that-lasted-10-hours/articleshow/113720656.cms","2024-09-27","news","Common in parcel-to-digital-arrest variants."
"PAT-FC-004","fake_courier_parcel","courier-to-mumbai-cybercrime-transfer","phone transfer","I am transferring this call to Mumbai Cyber Crime","Authority handoff theater","Install or open video-call app","do this now","Courier caller performs a fake call transfer to someone posing as a cybercrime officer.","https://indianexpress.com/article/cities/bangalore/fedex-scam-bengaluru-software-engineer-held-digital-arrest-loses-rs-1-crore-9344267/","2024-05-22","news","Useful for surface format transitions."
"PAT-FC-005","fake_courier_parcel","security-deposit-to-rbi","video call plus bank transfer","Deposit funds with RBI for verification","Fear of account seizure","RTGS/IMPS transfer to so-called safe account","before court file moves","Victim is told a refundable verification deposit is needed to clear courier-linked money laundering claims.","https://timesofindia.indiatimes.com/city/bengaluru/sr-journalist-lost-1-2-crore-in-fedex-courier-scam/articleshow/106881671.cms","2024-01-17","news","Use only as pattern, not as legal advice."
"PAT-FC-006","fake_courier_parcel","logistics-company-notice-counterpattern","awareness notice","We do not ask personal information in unsolicited calls","Legitimate company warning","Report suspicious calls and do not share personal info","report suspicious message","Carrier guidance says unsolicited calls or messages asking for personal info should not be trusted.","https://indianexpress.com/article/cities/bangalore/fedex-scam-bengaluru-software-engineer-held-digital-arrest-loses-rs-1-crore-9344267/","2024-05-22","news","Can anchor genuine courier-warning rows."
"PAT-KYC-001","fake_kyc","account-freeze-kyc-link","SMS","Update KYC now or your account will be blocked","False urgency and account-lock threat","Click link and enter login/OTP","today only","SMS threatens account freeze unless the user opens a link and submits banking details.","https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57244","2024-02-02","official","RBI confirms false urgency and account blocking language."
"PAT-KYC-002","fake_kyc","bank-official-kyc-vishing","phone call","I am calling from your bank for pending KYC","Impersonation of bank staff","Share OTP/CVV/PIN or profile password","verification pending","Caller claims KYC is pending and asks for confidential credentials or OTP.","https://bank.sbi/web/personal-banking/cyber-security","2026-04-28","bank","SBI page has KYC/vishing examples."
"PAT-KYC-003","fake_kyc","remote-access-kyc-support","phone call plus app install","Install this support app to complete KYC","Tech-support deception","Install AnyDesk/TeamViewer style app","account will close","Fraudster uses KYC update as pretext to make victim install a remote-access or screen-sharing app.","https://indianexpress.com/article/technology/tech-news-technology/one-link-total-control-how-screen-sharing-scams-are-looting-indians-10517253/","2026-02-07","news","Also covered on RBI/SBI safety guidance."
"PAT-KYC-004","fake_kyc","pan-kyc-link-phishing","SMS","PAN update required for your bank KYC","Routine compliance pressure","Open link and submit PAN/bank details","before midnight","Message asks the user to update PAN or KYC through a link that captures credentials.","https://indianexpress.com/article/cities/mumbai/mumbai-malabar-hill-resident-fake-bank-kyc-message-loses-money-8462780/","2023-02-23","news","Older but useful for high-frequency fake KYC pattern."
"PAT-KYC-005","fake_kyc","aadhaar-otp-kyc-abuse","phone/SMS","Share Aadhaar OTP to finish verification","Identity-verification pressure","Share Aadhaar OTP or documents","verification window closing","Caller or SMS asks for Aadhaar OTP or copies under KYC pretext.","https://www.hdfcbank.com/personal/resources/learning-centre/vigil-aunty/best-practices-while-sharing-your-aadhaar-details","2026-04-28","bank","Use to contrast with genuine VID/Aadhaar safety advice."
"PAT-KYC-006","fake_kyc","generic-phishing-smishing-bank-link","email/SMS","Urgent security update for online banking","Security panic and generic greeting","Click link and enter credentials","urgent security warning","Phishing message uses bank-like language, urgent subject, and a fake link to capture credentials.","https://www.icicibank.com/personal-banking/products/online-safe-banking/Phishing","2026-04-28","bank","ICICI page lists subject styles and warning signs."
