"anchor_id","institution","message_type","template_text","source_url","template_status","notes"
"ANC-RBI-001","RBI","KYC safety notice","For any KYC update request, contact your bank or financial institution through official channels before taking action.","https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57244","public_guidance_paraphrase","Not an exact SMS template."
"ANC-RBI-002","RBI","KYC safety notice","Do not share account login details, card information, PIN, password, OTP, or KYC documents with unknown persons.","https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57244","public_guidance_paraphrase","Use as genuine anchor against fake KYC requests."
"ANC-RBI-003","RBI","fraud reporting notice","If financial cyber fraud occurs, immediately report through cybercrime.gov.in or helpline 1930.","https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57244","public_guidance_paraphrase","Official endpoint anchor."
"ANC-RBI-004","RBI","KYC safety notice","Do not install unauthorized or unverified apps from links sent in KYC update messages.","https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57244","public_guidance_paraphrase","Remote-access scam contrast."
"ANC-NPCI-001","NPCI UPI","UPI PIN safety","Your UPI PIN authorizes bank transactions. Do not share it with anyone.","https://www.npci.org.in/what-we-do/upi/faqs/","public_guidance_paraphrase","Not exact bank SMS."
"ANC-NPCI-002","NPCI UPI","collect request information","A collect request asks the payer to approve or decline a request in the UPI app.","https://www.npci.org.in/what-we-do/upi/product-overview/","public_guidance_paraphrase","Genuine concept anchor."
"ANC-NPCI-003","BHIM","UPI collect safety","Unknown money requests can be declined and blocked from the Approve to Pay section.","https://www.npci.org.in/what-we-do/bhim/faq/","public_guidance_paraphrase","Useful for genuine/help-seeking variants."
"ANC-NPCI-004","NPCI IPO","verified merchant check","For IPO UPI mandates, check the verified merchant indication and match bid details before approving.","https://www.npci.org.in/what-we-do/ipo/faqs","public_guidance_paraphrase","Genuine UPI collect contrast."
"ANC-NPCI-005","NPCI UPI","transaction completion","After a successful UPI payment, the app shows status and the bank sends transaction confirmation.","https://www.npci.org.in/what-we-do/upi/faqs/","public_guidance_paraphrase","Transaction-alert anchor."
"ANC-NPCI-006","BHIM","UPI request handling","Open BHIM, review pending requests, and approve only requests you recognize.","https://www.npci.org.in/what-we-do/bhim/faq/","public_guidance_paraphrase","Genuine flow anchor."
"ANC-SBI-001","SBI","cyber incident reporting","To report cyber incidents, email report.phishing@sbi.co.in or call cybercrime helpline 1930.","https://bank.sbi/web/personal-banking/cyber-security","public_guidance_paraphrase","Official SBI cyber security page."
"ANC-SBI-002","SBI","credential safety","SBI never asks for user ID, password, card number, PIN, password, or CVV.","https://bank.sbi/web/personal-banking/cyber-security","public_guidance_paraphrase","Use against vishing/KYC rows."
"ANC-SBI-003","SBI","UPI safety","A PIN is needed only for transferring money, not for receiving money.","https://bank.sbi/web/personal-banking/cyber-security","public_guidance_paraphrase","Strong UPI scam contrast."
"ANC-SBI-004","SBI","KYC fraud awareness","Cyber criminals may call customers and ask them to click a link to update KYC; verify instead.","https://bank.sbi/web/personal-banking/cyber-security","public_guidance_paraphrase","Awareness anchor."
"ANC-SBI-005","SBI","digital arrest awareness","No money should be sent because of threats made on video calls by people claiming to be officers.","https://bank.sbi/web/personal-banking/cyber-security","public_guidance_paraphrase","Digital arrest genuine warning."
"ANC-HDFC-001","HDFC Bank","KYC safety","Banks do not request KYC updates through random links or calls; use the official website or branch.","https://www.hdfcbank.com/personal/useful-links/security","public_guidance_paraphrase","Security page."
"ANC-HDFC-002","HDFC Bank","credential safety","Do not share customer ID, login password, OTP, or card details over calls, messages, or emails.","https://www.hdfcbank.com/personal/useful-links/security","public_guidance_paraphrase","General safe banking."
"ANC-HDFC-003","HDFC Bank","digital arrest awareness","There is no legal process called digital arrest; stay calm and report suspicious calls.","https://www.hdfcbank.com/personal/useful-links/security","public_guidance_paraphrase","Digital arrest genuine anchor."
"ANC-HDFC-004","HDFC Bank","QR safety","A QR code is scanned to send money, not to receive a payment.","https://www.hdfcbank.com/personal/useful-links/important-messages/stayvigil/types-of-fraud","public_guidance_paraphrase","UPI QR contrast."
